token_address,receiver,amount
0x0000000000000000000000000000000000000404,0x38f046ae944021351ce5c2486dee3027c949858f,2487220
0x0000000000000000000000000000000000000404,0x00cefa72151a53ed99c28080abad20d70b5092c7,462375
0x0000000000000000000000000000000000000404,0xd41f35b0eb9acc747ed2a603a06a45a2aa48e028,68626.4
0x0000000000000000000000000000000000000404,0x52105c8818daacccfea0fe295f92a7f3d525096a,45542.3
0x0000000000000000000000000000000000000404,0x9534259d678b1c45a9fe790b147706bdc35bbc4a,45298.4
0x0000000000000000000000000000000000000404,0xc05883d9977cd87169bc1ba82859c2b4e484abbf,2460600
0x0000000000000000000000000000000000000404,0xd35dd9cea5b361f7a027df5cb2954ca34814843b,13720.8
0x0000000000000000000000000000000000000404,0xf99760b9385c009ad7c741038e1de583a941711e,13530.6
0x0000000000000000000000000000000000000404,0xca92755f758611bd0d688f3e84b8308aa7bc57fa,38552
0x0000000000000000000000000000000000000404,0x37b1a9af9ac1492ddd0cc15248bac9df40c9f495,2730.42
0x0000000000000000000000000000000000000404,0x50b124786343eda92e715103642d4b3fc29c0ce1,150200
0x0000000000000000000000000000000000000404,0x7b136c96e73a65c3a9085edf6e4b77e75a8ff744,128907
0x0000000000000000000000000000000000000404,0x5ff4a620fe2e7ab1a947b7b1be5b1719d3c7f4ca,224.007
0x0000000000000000000000000000000000000404,0x55c3518c1037d05aeac82cb71b2730dd6ce7d772,35753.9
0x0000000000000000000000000000000000000404,0x484b2eb9c04e5dab1454b1500ce41585753abbbd,233958
0x0000000000000000000000000000000000000404,0x86274cd9cb1890776c942001dd49c2625e8af8dc,19383.4
0x0000000000000000000000000000000000000404,0x4c69050267e0311e4a97e3f7f19ead544feda422,7975.07
0x0000000000000000000000000000000000000404,0xfcadc5bd924e54c41c0302f677568a46e0fba7d3,23024.2
0x0000000000000000000000000000000000000404,0x7c9b3d4cfc78c681b7460acde2801452aef073a9,3.8652838
0x0000000000000000000000000000000000000404,0x5bd517603b41c872f15b6ae96da6095bcc94ccf1,148813
0x0000000000000000000000000000000000000404,0x688f17dcdbdf386e1fe2062b66fe44eef909220b,7389.07
0x0000000000000000000000000000000000000404,0xae9dc6a768bb39f376ee9526b98ef0dbc13f313d,16238.1
0x0000000000000000000000000000000000000404,0x3f426e5b88bf470a05a76d6639c5829e999084a4,14193.3
0x0000000000000000000000000000000000000404,0x7fbade8710cfa4ba0001c739a2eac51cf1e3368c,1535750
0x0000000000000000000000000000000000000404,0x29f3255084f0b26f0245686ebd3cc906585ac5a5,20219.2
0x0000000000000000000000000000000000000404,0x6e201fe455c368dad14a70cac54e63191705af8a,20011.1
0x0000000000000000000000000000000000000404,0xd5065ed1a8cb76a1044da1f2f8158db20b9b664b,173.616
0x0000000000000000000000000000000000000404,0xf8264832b8e3f5bdb01be131b91f271208ca0865,56337.8
0x0000000000000000000000000000000000000404,0xb8f97a413c52b9d74b4afc211f84848c0d2b43d4,185069
0x0000000000000000000000000000000000000404,0x8ada0bdc001a06150eff088b7ad718348a5e53c2,439.774
0x0000000000000000000000000000000000000404,0x254fb3a427d0168dae92b2782274b53595bca712,150746
