who,ring,kton
0x29eceeafdfff73e125c2fb93cde3e6bb6f1b602c,63482678284120000000000,53129800000000000000
0xb7e88e1635ea56b6a404cb4e97cf4fa6c40dcbeb,893706424306578000000000,324877152140000000000
0x2cdc001ea87149210328d292cc84c250b4995dc2,427438985352568000000000,22986024036000000000
0xa02f873cc0cc3c573c3512672164d9e723c8d699,175237406563642000000000,190703622046000000000
0x497d6ca44d77e3808cce217bfbb1bce6e7ae2d71,325700000000000000000000,32000000000000000000
0x6a8cfdf197eb48593ac86738b3b23edcd91923c7,2400000000000000000000000,0
0x18c30cc8b8411f35f5fc1b5ea3f76567afd61aa5,4897980000000000000000000,214800000000000000000
0x2a396aaceaca357071de41ba9821f74edef42664,69154365702250000000000,19222799834000000000
0xa26c2744757a7c7fad021073108d843ece8ba648,616802880606226000000000,224803176222000000000
0x1d685424dd0807dfdfebd7f887b855a875e118f2,691182528620010000000000,928000000000000000000
0xd5065ed1a8cb76a1044da1f2f8158db20b9b664b,1796672398432000000000,979695000000000
0xb73131b163129fcef916be221db54d8de244f485,395208000396000000000,0
0xcdee11332606f67b34ae210f5dd933f5e37c88eb,100200000000000000000000,54698000000000000000
0x53907b71ee7139d6b515573f870f091dd4fa247e,170604840342580000000000,62178288124000000000
0x61fd367a11f9b1535897e91c065e7a264c5ee6e3,14901507084910000000000,0
0x53d64776e99226cf8d41dea1bd5740316f1e0c0d,2394401656488000000000,1077542112000000000
0x761c178c62e221dea6d7f411c6c5e36f8e59df69,3831217366166000000000,2000000000000000000
0x7820774535b91fcea012d0be5a1ab90db9d9e9d0,10000000000000000000000,0
0x0fe9d0d57d91da9329a0215eee231aab6911261e,29338000000000000000000,6000000000000000000
0x3e25247cff03f99a7d83b28f207112234fee73a6,340000000869632000000000,123917421312000000000
0x186b16e6c7685915e0a06495adb37b8dffddd99e,4419880005060000000000,1610312000000000000
0xd9b8954ce0970c29a7c65b32babc810ac19cccfe,3196253298008546000000000,0
0x82c3a2783e645035ff4269cd7251e8889974172d,880755727690000000000,0
0x9cb9a822209f544ac1fad4494d99e2adafed1d94,6477590829989498000000000,217400000000000000000
0x7f1ef5381b032bb0043eaf59d20c65052910dbae,423624307506718000000000,356000000000000000
0x25fffa710cbe44d816d901de27b199ff690d5614,19564396413022000000000,6572000000000000000
0x5bf50621d9811ad5b0abe63d32361251ba57279b,23922703249771000000000,0
0xa68a9bc8bef09ff96f2afc22efd4ec29140a8c59,15000000000000000000000,0
0x3521835b43b1ad07364220aff4166386880230c7,44703477898036000000000,0
0x52f6cbe5f29094d235df65e31b67977a235e6380,25000000000000000000000000,0
0x9007182b4223fe90cdd00a4b3353aa67a230a735,317822001774354000000000,120884000000000000000
0x0cd3f580ee47ecb18930c81bd8ab2b539b4ce3b2,44550000000000000000000,0
0xc1c8f6ef43b39c279417e361969d535f2a20b92e,1395788593297604000000000,1331827571670000000000
0xce4cc380f93b822514270ced4c4e399e768b2eef,446000000000000000000000,0
0x577d2186e4693546b46dcee5f4ae89724fcc4f0c,803300000000000000000000,309550345172000000000
0xb34cf4a5854b38e9b80552d3b5a7a2aaae37419f,35000000000000000000,0
0xf15d35d68e67cd2fd6e6fe9268cf210ee45c677d,138680000000000000000000,50531400000000000000
0x80b232d60d6b680a5aa9d09ad3af663f1604507e,50274599663613000000000,25870000000000000000
0x5781ba401cd4540cf6d4a56af297884030131949,190000000000000000000000,34620000000000000000
0x3eae1403f114c5ed1bc64ad120420b7bbe286071,1800000000000000000000,0
0x39cef71369db73e3df074dcb09cf8df0480eb645,11580000000000000000000,0
0x688f17dcdbdf386e1fe2062b66fe44eef909220b,76466000000000000000000,0
0x3c61be77359e1a038c93cdf814fbe40d6393017b,281885940000000000000000,0
0x7f382ed964cb464931938cb8cf6a7babaff72e90,404159037158820000000000,24600000000000000000
0x6099830071fc278be4e309d2b81c9a4495a57ed8,105432177036497000000000,35640000000000000000
0x23b1f02ac08d722e6eacfca220c88ae1d03be7b2,9557616019192000000000,3121464008000000000
0x444f5906249a182cebe41f07d47897afa1cf7964,4831553380246972000000000,0
0x8ada0bdc001a06150eff088b7ad718348a5e53c2,4202435762934000000000,120425744000000000
0x6cc944c7ac0b9307ff56e0a42317ba8591b2d97b,9700000000000000000000,220000000000000000
0xd74661aa176d4a93d4bba83fef4266e828025a7f,1113851111182068000000000,0
0x576ed518f16763b307fac2d332e89bccb1a8ca6e,211232136092117000000000,0
0x7ae2a0914db8bfbdad538b0eac3fa473a0e07843,2000000000000000000000,0
0x038baf880ab8087046c467bab5447df99416bb08,330895681814126000000000,60727000000000000000
0x9f33a4809aa708d7a399fedba514e0a0d15efa85,6000000000000000000000,0
0x49da4690c74ad5066beb550b06579dd8a4944964,38500618332123000000000,0
0x879ea79bc8aeef498987da2661c6c7505df1032e,1046814646829999000000000,910980688470000000000
0xe7f4dbab83e7bc844b3c196dbb32382d1a7e0142,84871767765586000000000,20000000000000000000
0xf68fc6379d4582619c3ad51f54ef81ad0dc7f981,55456835096994000000000,38238000000000000000
0x99934615148074b7d4202ae8c371bcaa23b0a843,74000000000003000000000,26606000000000000000
0x0533916aa9221ce7b112c7d88083c782ec42ce5d,16166716676564000000000,11333742704000000000
0x2e54e68f422563147fc9438064bb6ba41e42e356,103688000000000000000000,2970000000000000000
0x312ad95348611bafb301e661e8e4c8d91d70c691,616549900976000000000,0
0x0bc289463b21be0f610d0d6cb4b8a9e679b68c15,2276991821496528000000000,0
0xacc87388e55ff12bea590c5608069a90d3f1606a,5144000000000000000000000,202620000000000000000
0xf6991efeaa706480e69de5484f9de62548a3ec90,1699266755603000000000,52000000000000000
0x9ef442ec149dd3bb61b1324209c332a9f2b78e61,2098285667476246000000000,7362375369806000000000
0xce2191a070d9f9bf7912954f0117c0013e82ee47,390801000000000000000000,28710600000000000000
0x5adbb07b8054cee82294e43688ab059510f5e900,2445669236479336000000000,525564000000000000000
0x76bf5d4a2f217ea22aaf2adb5ffed987183c2dc4,24780000000000000000000,0
0x93b5ae94126f437d401573822107e42675c96529,642000000000000000000000,0
0x2c81cce3f18f25f77c2763c6940e53bbe3257415,387633927734473000000000,633096025750000000000
0x254fb3a427d0168dae92b2782274b53595bca712,1739123144284967000000000,422500000000000000000
0xbafaba26d84f48f6e60af5f71ec747b864efd53c,447059830022058000000000,72240000000000000000
