who,ring,kton
0x51c3be801995abe6d510d4acd6480322a8fe26ba,262779532523168000000000,241102786430000000000
0x7f382ed964cb464931938cb8cf6a7babaff72e90,50927716286200035000000000,12300000000000000000
0xc0fc76fc589d377e4f8325e24f6d84728e917780,16384000000000000000000000,188610950000000000000
0xd8621accd0b36fdaaf52051289b072e836fff3c2,14889785676643930000000000,21139000000000000000
0x7c1fc7e29b62540f092d73b7ef9fa9558d4df8f2,512000000000000000000000000,1121454977361000000000
0x5ddb47b33ef2cbbd1ddef13763be178ac20967c0,51097599970261248000000000,77887213958000000000
0xcdcbc6228bf11984e240687c59a4c01aadbe7ce3,113602419278422614000000000,0
0x4443b2230a6ea9acfb35f0aa179ffba6255f3529,51200000000000000000000000,20875754599000000000
0x2369ce21d3d4e8494e6280f21b33fb9374216ab3,24268800000000000000000000,36693656000000000000
0x1f7249c0dabfdc88730fe6720b81b956b599018f,0,877000000000000000
0x193cd2fb8a6610d2e6cc797890ee430de92e5b26,134773918241930492000000000,83533000000000000000
0x972f0a9e96da7ed8de78947cf6b77f70ed909ddb,81800000000000000000000,0
0x1ade16f938281fbff2bc8fb6c3f537178f6d76b5,47104683570314899000000000,49415000000000000000
0x186b16e6c7685915e0a06495adb37b8dffddd99e,121584640647680000000000,805156000000000000
0x7b4f36be233bb45d3020ebbfba7144d6309f6104,10128435295000000000,0
0xa09f9479a535c99885d76c364f9b68ba9ae6a8c8,0,16000000000000000000
0x1da47b74e5ba7e9c7b0ac14e23988913607954ce,23705179321415674000000000,183771560147000000000
0x07a6d58cac8d98af26508635815ce1e56458c5a2,182004173838125000000000,1056764272639000000000
0x9e6d8f604f0710e91148b8be62efa2f0d0aa6fdb,25600000000000000000000,1704700800000000000000
0xa09b71eead5de440848e81af76a1fa5d7ec23041,811520000000000000000000,0
0xabfed410a94e3aacf3b78fd4f0d03383b53e34f8,8448000000000000000000000,0
0xc557b06f04f12026c54ec679e37cc5733e5c9418,8192108622459811000000000,7700000000000000000
0x32e351b39d9dcc5e292385143530d7f3417da550,240848153436217000000000,414000000000000000
0x3e25247cff03f99a7d83b28f207112234fee73a6,11520000000000000000000000,61958710656000000000
0xdedecb27539ab653feb95b05c8420a9d5d9e554e,11488768210920704000000000,0
0xcb1bedf29b61c1448f57a8805b401d91cff5e7ca,9000000000000000000,0
