token_address,receiver,amount
0x0000000000000000000000000000000000000404,0x2369ce21d3d4e8494e6280f21b33fb9374216ab3,10890.4
0x0000000000000000000000000000000000000404,0x5391d52546b4e8afeb09591605a386bd36219054,24882.7
0x0000000000000000000000000000000000000404,0xf819852c81f6ae73c84143cc71b60949d927b65c,410.922
0x0000000000000000000000000000000000000404,0x6eef8975c8cb93542071cea0ba178e44673469b9,2026.04
0x0000000000000000000000000000000000000404,0xf350d955a0d4a4e0de39978a5a8b838466961e60,284.141
0x0000000000000000000000000000000000000404,0x312ad95348611bafb301e661e8e4c8d91d70c691,5.9578508611
0x0000000000000000000000000000000000000404,0x91a2ea93aab40aa7b49218fb4fbd6edafc5f0034,57.9793
0x0000000000000000000000000000000000000404,0xa9260481fa35bb5e2e300763c469506600d7a980,753.399
0x0000000000000000000000000000000000000404,0xfa46365cd8c1fcb64c50840eea25acfcad0791f1,272266
0x0000000000000000000000000000000000000404,0xd6637a1641e24a8ab3c93d4f724938033f51eabf,13134.6
0x0000000000000000000000000000000000000404,0x4de51875c1a58799a0de58fc1049e9c4a83d7ad0,617.911
0x0000000000000000000000000000000000000404,0x0def9b4811e4c4e9da5acf82d421c97b5e9c152f,85.4163
0x0000000000000000000000000000000000000404,0xd0bb920e3e90dbafa0b5f260d055de957f089c62,16253.5
0x0000000000000000000000000000000000000404,0x53b5405bd56535472b224065c55be7a3d3f16e98,18031.4
0x0000000000000000000000000000000000000404,0x7302333e1d5d4e14cf0ed162d5f5796634616dc2,193385
0x0000000000000000000000000000000000000404,0x3e25247cff03f99a7d83b28f207112234fee73a6,5856.65
0x0000000000000000000000000000000000000404,0xbca4ad845f0fc316de295dacb033a7ef2902ed0e,14159.4
0x0000000000000000000000000000000000000404,0x5adbb07b8054cee82294e43688ab059510f5e900,34537.9
0x0000000000000000000000000000000000000404,0xf68fc6379d4582619c3ad51f54ef81ad0dc7f981,1375.67
0x0000000000000000000000000000000000000404,0xcfc49d2515ea12a059ab4b0f9f53bb2fc731a536,209533
0x0000000000000000000000000000000000000404,0x7d0caefbe8a6f66aea68389f8cbff9052acd8fd7,21.543
0x0000000000000000000000000000000000000404,0x4160478bb15e98815697298e114ff79aa76d002d,1401.23
0x0000000000000000000000000000000000000404,0x7c1fc7e29b62540f092d73b7ef9fa9558d4df8f2,109330
0x0000000000000000000000000000000000000404,0xafb24d6ba3f747cd894c65cafe35b123f1ca9cab,96513.3
0x0000000000000000000000000000000000000404,0x5781ba401cd4540cf6d4a56af297884030131949,1836.01
0x0000000000000000000000000000000000000404,0x86e813231678a1b34d72bc03931bc749a06bd40d,6452.89
