who,ring,kton,pink
0x38f046ae944021351ce5c2486dee3027c949858f,7.3933E+24,2.55038E+21,2.48722E+15
0x00cefa72151a53ed99c28080abad20d70b5092c7,2.196E+24,9.149E+19,4.62375E+14
0xd41f35b0eb9acc747ed2a603a06a45a2aa48e028,1.992E+23,7.26014E+19,6.86264E+13
0x52105c8818daacccfea0fe295f92a7f3d525096a,1.928E+23,1.9955E+19,4.55423E+13
0x9534259d678b1c45a9fe790b147706bdc35bbc4a,1.85E+23,2.3E+19,4.52984E+13
0xc05883d9977cd87169bc1ba82859c2b4e484abbf,7.29762E+24,2.5308E+21,2.4606E+15
0xd35dd9cea5b361f7a027df5cb2954ca34814843b,3.647E+22,1.6079E+19,1.37208E+13
0xf99760b9385c009ad7c741038e1de583a941711e,3.71826E+22,1.52887E+19,1.35306E+13
0xca92755f758611bd0d688f3e84b8308aa7bc57fa,1.97993E+23,6.92E+17,3.8552E+13
0x37b1a9af9ac1492ddd0cc15248bac9df40c9f495,1.2927E+22,5.59299E+17,2.73042E+12
0x50b124786343eda92e715103642d4b3fc29c0ce1,3.05892E+23,2.19485E+20,1.502E+14
0x7b136c96e73a65c3a9085edf6e4b77e75a8ff744,6.67E+23,0,1.28907E+14
0x5ff4a620fe2e7ab1a947b7b1be5b1719d3c7f4ca,6.69E+20,2.28235E+17,2.24007E+11
0x55c3518c1037d05aeac82cb71b2730dd6ce7d772,1.85E+23,0,3.57539E+13
0x484b2eb9c04e5dab1454b1500ce41585753abbbd,1.21056E+24,1.42245E+14,2.33958E+14
0x86274cd9cb1890776c942001dd49c2625e8af8dc,5.73507E+22,2E+19,1.93834E+13
0x4c69050267e0311e4a97e3f7f19ead544feda422,1.39955E+22,1.27E+19,7.97507E+12
0xfcadc5bd924e54c41c0302f677568a46e0fba7d3,4.61278E+22,3.4E+19,2.30242E+13
0x7c9b3d4cfc78c681b7460acde2801452aef073a9,2E+19,0,3865283800
0x5bd517603b41c872f15b6ae96da6095bcc94ccf1,7.7E+23,0,1.48813E+14
0x688f17dcdbdf386e1fe2062b66fe44eef909220b,3.8233E+22,0,7.38907E+12
0xae9dc6a768bb39f376ee9526b98ef0dbc13f313d,8.402E+22,0,1.62381E+13
0x3f426e5b88bf470a05a76d6639c5829e999084a4,4.15288E+22,1.48617E+19,1.41933E+13
0x7fbade8710cfa4ba0001c739a2eac51cf1e3368c,7.94639E+24,0,1.53575E+15
0x29f3255084f0b26f0245686ebd3cc906585ac5a5,8.73366E+22,8.049E+18,2.02192E+13
0x6e201fe455c368dad14a70cac54e63191705af8a,5.94626E+22,2.0529E+19,2.00111E+13
0xd5065ed1a8cb76a1044da1f2f8158db20b9b664b,8.98336E+20,0,1.73616E+11
0xf8264832b8e3f5bdb01be131b91f271208ca0865,2.73899E+23,8.2E+18,5.63378E+13
0xb8f97a413c52b9d74b4afc211f84848c0d2b43d4,5.37196E+23,1.95789E+20,1.85069E+14
0x8ada0bdc001a06150eff088b7ad718348a5e53c2,2.14622E+21,6.02129E+16,4.39774E+11
0x254fb3a427d0168dae92b2782274b53595bca712,7.8E+23,0,1.50746E+14
0x8c2f4f24346e633e82bc6ec87a6eb6d664203fff,5.1364E+23,0,9.92682E+13
0x6099830071fc278be4e309d2b81c9a4495a57ed8,5.35011E+22,2.04E+19,1.88054E+13
0x7496d345d6127f22307b7baf1f8b93131ed4722a,0,3.02E+20,1.25324E+14
0x50eab6fcdca2f35a1dc33692d896624c5f9ffb05,1.57961E+23,8.07279E+19,6.40287E+13
0x311e8b91acee3c29cffb21d02c88ed1736b4626f,7.4E+24,1.391E+21,2.00739E+15
0x807b496bd5fa96dc9e22a43577942b2d90dd7ccc,2E+19,0,3865283800
0xc557b06f04f12026c54ec679e37cc5733e5c9418,3.21086E+22,7.7E+18,9.40079E+12
0x347b00dfb656ca4804819fa6035177910eac3e27,4.62125E+23,4.80088E+19,1.09235E+14
0xd9b8954ce0970c29a7c65b32babc810ac19cccfe,1.59813E+24,0,3.08861E+14
0x90bc7f950dae2253f37189230479d3d7173c9112,2.29343E+21,2.024E+18,1.28316E+12
0x33d522cad133e04d201b1ea3bd0461678f0850f0,1E+18,0,193264190
0x879ea79bc8aeef498987da2661c6c7505df1032e,5.56307E+23,4.6249E+20,2.99438E+14
0x4545bebf52d8434709462a44c6c331dca45462d9,1.21997E+24,0,2.35777E+14
0xf9d2652bbf716b02bf392b0068b8d4d46290cf27,2.96E+23,1.20678E+20,1.07285E+14
0x530cafdc90c5353c6654999cbdb16ab14af1fcc4,5.71085E+23,9.68562E+19,1.50564E+14
0xce2191a070d9f9bf7912954f0117c0013e82ee47,1.98E+23,1.43553E+19,4.42235E+13
0x615e1690dfe1fe7ca505d19c0ca9b2c4881f2bbe,3.845E+21,0,7.43101E+11
0xefb73e47099485c72b7678cb59fb0da7dacf173f,4.01369E+23,3.5547E+20,2.25083E+14
0x82c3a2783e645035ff4269cd7251e8889974172d,4.35378E+20,0,84142950211
0xa09b71eead5de440848e81af76a1fa5d7ec23041,6.2074E+22,0,1.19967E+13
0xd56ce8b205279a309ba56f7c9f7dff56e6a47c74,1E+18,0,193264190
0x33bd8d5a4f40285df90694ccb29d6f5859c3977e,5.4E+22,1.04904E+19,1.47896E+13
0x5ddb47b33ef2cbbd1ddef13763be178ac20967c0,2.1371E+23,7.78872E+19,7.36241E+13
0x0fe9d0d57d91da9329a0215eee231aab6911261e,1.4669E+22,3E+18,4.07993E+12
0x00205fdac4d4887de33df1ad324f65e8277508a1,9.3594E+22,1.77497E+19,2.54541E+13
0x1f7249c0dabfdc88730fe6720b81b956b599018f,0,8.77E+17,3.63937E+11
0x32c139e80dee4125f500b51a0365a8522cf352d0,2.4E+19,0,4638340561
0xda0c3904a049e0047e5060a779f2c61864f1a47b,4.5668E+20,7E+16,1.17309E+11
0x9afa35293d27223b1826c93d4797e8441e135fbe,1.2485E+23,0,2.4129E+13
