who,amount
0x7a30e64ef6d0e802607a3b64b120f864f1e4f7e6,50688000000000000000000000
0x161fbbe61e224c1aaa9bd0b3444e45af7fff779d,2547200000000000000000000
0xc0fc76fc589d377e4f8325e24f6d84728e917780,16384000000000000000000000
0x3d993e447786032d8d0d1129d56bc1b344142afb,208358400000000000000000000
0x1eeaba9a7eb68ec137be38b0901abfb17a510a39,31728640000000000000000000
0x807b496bd5fa96dc9e22a43577942b2d90dd7ccc,1280000000000000000000
0x8c3330507b537db7353650a54be3f1ac72c4b17e,23040000000000000000000000
0xa09b71eead5de440848e81af76a1fa5d7ec23041,811520000000000000000000
0xc05883d9977cd87169bc1ba82859c2b4e484abbf,640000000000000000000000000
0x0feb17d2deff12bb1ded6774e6dbf6b9da368e66,1126400000000000000000000
0x6099830071fc278be4e309d2b81c9a4495a57ed8,5606400000000000000000000
0x32e351b39d9dcc5e292385143530d7f3417da550,38400000000000000000000
0xac95e9dec056835d88817a8a59a06b1667c515d7,3270393856000000000000000
0x0befd7ecaf8038737438832643f0e51df7abf1e4,240857133971456000000000
0x2e54e68f422563147fc9438064bb6ba41e42e356,12508160000000000000000000
0xf350d955a0d4a4e0de39978a5a8b838466961e60,2560000000000000000000
0x6508cf6ff0bdf6865f8760cfb007edc2ecfbe5bc,11130435993600000000000
0x8a40da117a3f1f2d95cdfb1dcf3cf477a2b70ae5,7961600000000000000000000
0xd44eaeb6d0921b00d090ffeb37e6eafb54d0a580,7649280015360000000000
0x2d7bf12c7ff13677ff982020817fb3c326cd2a18,335360000000000000000000000
0xb70601144b469a495c7ee4dc49a859283d19868d,676297806197686272000000000
0x524a88a05e02cfb61429e0b3c2ecb8c4e532ea61,10233600000000000000000000
0xa47c0b73ec45a428ab6902c027481082d6db1132,5122560000000000000000000
0x6c46489194bbc861723049b27ee563995b85bba1,1331200000000000000000000
0xa8ed90c4c6d9eec89ebc73024a8c263eeb41da60,4684800000000000000000000
0xda8d91cb6cb7f2ef66900987aba50ac54d80439c,691200000000000000000000
0x08aa500c60b91ce4086044e3c402549ba62e3484,1024000000000000000000000
0x5391d52546b4e8afeb09591605a386bd36219054,22882950797824000000000
0xa533b6772593ce2a4519beed6b7dff0c69f17374,150816256000000000000000000
0x0fe9d0d57d91da9329a0215eee231aab6911261e,3755264000000000000000000
0x88a39b052d477cfde47600a7c9950a441ce61cb4,256000000000000000000000
0x6af2c466ad49ec17412c3b51a7cc759cfbddebb9,28160000000000000000000000
0x579224938415d56f8616f7583765b7c73c7b0610,24320000000000000000000000
0xb7e88e1635ea56b6a404cb4e97cf4fa6c40dcbeb,15692800000000000000000000
0x497d6ca44d77e3808cce217bfbb1bce6e7ae2d71,40960000000000000000000000
0xa26c2744757a7c7fad021073108d843ece8ba648,77414768717596928000000000
0x7136adc702e26c13158284c4b0fcff66fa52c99b,281600000000000000000
0x4d42d04cfde176ccadc86ebaed18dbf248526255,15667200000000000000000000
0x484b2eb9c04e5dab1454b1500ce41585753abbbd,24313856000000000000000000000
0x39cef71369db73e3df074dcb09cf8df0480eb645,2964480000000000000000000
0xbcd96fe2ea923edd3b6c9657a216c6d5574b3ae0,125440000000000000000000000
0x99934615148074b7d4202ae8c371bcaa23b0a843,212480000000000000000000
0x5bd517603b41c872f15b6ae96da6095bcc94ccf1,197120000000000000000000000
0x0424e057c2d0bc7e58c75975aaf38bf1e598cd49,378142720000000000000000000
0xf0427162e6a4701be0a66e639d156b7eadacb4a6,4019200000000000000000000
0x52105c8818daacccfea0fe295f92a7f3d525096a,36531200000000000000000000
0x53907b71ee7139d6b515573f870f091dd4fa247e,6074219563850240000000000
0x362eae279e50fb03b1c0a0a369c6da6b12a5b919,256000000000000000000
0x453297bf63d36c3678b6ca750793217138f20aa3,2611200000000000000000000
0x5b63cec873f98e50062541eb136567f0462bfc54,6400000000000000000000000
0x5aed44c8064ae841f52483804463161bdff4a70a,3174400000000000000000000
0x32c139e80dee4125f500b51a0365a8522cf352d0,3840000000000000000000
0x586970b8fc75f519cfc9675314a11ca36d605a13,256000000000000000000000
0x22b7daf3f356462c196bc99a471d11e1ea0b16b6,4228971894401280000000000
0xa9260481fa35bb5e2e300763c469506600d7a980,4380155430393088000000000
