who,amount
0x7a30e64ef6d0e802607a3b64b120f864f1e4f7e6,72000000000000000000
0x161fbbe61e224c1aaa9bd0b3444e45af7fff779d,0
0xf0637af0cc4ba2c4980d169c945df24d6dfd101c,1000000000000000000
0xc0fc76fc589d377e4f8325e24f6d84728e917780,188610950000000000000
0x2b9c3db211674bab4bbaf12ec2591a36adbeb4ab,700000000000000
0x4ef9c61704e17b67e3aee801421d42f31510dbae,0
0x3d993e447786032d8d0d1129d56bc1b344142afb,0
0x1eeaba9a7eb68ec137be38b0901abfb17a510a39,11080000000000000000
0xe58322744d2299b29dbe238b86ce936118e2af7e,4880000000000000000
0x807b496bd5fa96dc9e22a43577942b2d90dd7ccc,500000000000000
0x2a3fa2ee4c16153f7b2eb63b2dfad38ea264a92b,0
0x8c3330507b537db7353650a54be3f1ac72c4b17e,0
0xc05883d9977cd87169bc1ba82859c2b4e484abbf,2530800212858000000000
0xdd99d5aee27d6e47a0b538f1e2f9104f7c60000a,0
0x0feb17d2deff12bb1ded6774e6dbf6b9da368e66,0
0x6099830071fc278be4e309d2b81c9a4495a57ed8,20400000000000000000
0x32e351b39d9dcc5e292385143530d7f3417da550,414000000000000000
0xac95e9dec056835d88817a8a59a06b1667c515d7,214592000000000000000
0x0befd7ecaf8038737438832643f0e51df7abf1e4,150776516220000000000
0x2e54e68f422563147fc9438064bb6ba41e42e356,1870000000000000000
0xf350d955a0d4a4e0de39978a5a8b838466961e60,770000000000000000
0x3521835b43b1ad07364220aff4166386880230c7,0
0x6508cf6ff0bdf6865f8760cfb007edc2ecfbe5bc,29328960304000000000
0x8a40da117a3f1f2d95cdfb1dcf3cf477a2b70ae5,13197450134000000000
0xd44eaeb6d0921b00d090ffeb37e6eafb54d0a580,0
0xb70601144b469a495c7ee4dc49a859283d19868d,70563787811000000000
0x524a88a05e02cfb61429e0b3c2ecb8c4e532ea61,14555621681000000000
0xa47c0b73ec45a428ab6902c027481082d6db1132,7263812847000000000
0xd93e82b9969cc9a016bc58f5d1d7f83918fd9c79,0
0x6c46489194bbc861723049b27ee563995b85bba1,26263000000000000000
0xa8ed90c4c6d9eec89ebc73024a8c263eeb41da60,6695000000000000000
0xda8d91cb6cb7f2ef66900987aba50ac54d80439c,0
0x08aa500c60b91ce4086044e3c402549ba62e3484,0
0x5391d52546b4e8afeb09591605a386bd36219054,230048310945000000000
0xa533b6772593ce2a4519beed6b7dff0c69f17374,1556658293521000000000
0x0fe9d0d57d91da9329a0215eee231aab6911261e,3000000000000000000
0x6af2c466ad49ec17412c3b51a7cc759cfbddebb9,34000000000000000000
0x579224938415d56f8616f7583765b7c73c7b0610,143798100000000000000
0xb7e88e1635ea56b6a404cb4e97cf4fa6c40dcbeb,166417476070000000000
0x9f33a4809aa708d7a399fedba514e0a0d15efa85,0
0x497d6ca44d77e3808cce217bfbb1bce6e7ae2d71,16000000000000000000
0xa26c2744757a7c7fad021073108d843ece8ba648,112401588111000000000
0x7136adc702e26c13158284c4b0fcff66fa52c99b,0
0x4d42d04cfde176ccadc86ebaed18dbf248526255,24859000000000000000
0x484b2eb9c04e5dab1454b1500ce41585753abbbd,142245000000000
0x39cef71369db73e3df074dcb09cf8df0480eb645,0
0xbcd96fe2ea923edd3b6c9657a216c6d5574b3ae0,0
0x99934615148074b7d4202ae8c371bcaa23b0a843,13485200000000000000
0x5bd517603b41c872f15b6ae96da6095bcc94ccf1,0
0x0424e057c2d0bc7e58c75975aaf38bf1e598cd49,7132400000000000000
