who,amount
0x7a30e64ef6d0e802607a3b64b120f864f1e4f7e6,0
0x161fbbe61e224c1aaa9bd0b3444e45af7fff779d,0
0xf0637af0cc4ba2c4980d169c945df24d6dfd101c,1217675530192000000000
0xc0fc76fc589d377e4f8325e24f6d84728e917780,0
0x2b9c3db211674bab4bbaf12ec2591a36adbeb4ab,0
0x4ef9c61704e17b67e3aee801421d42f31510dbae,16000000000000000000
0x3d993e447786032d8d0d1129d56bc1b344142afb,0
0x1eeaba9a7eb68ec137be38b0901abfb17a510a39,0
0xe58322744d2299b29dbe238b86ce936118e2af7e,39810229974062000000000
0x807b496bd5fa96dc9e22a43577942b2d90dd7ccc,15000000000000000000
0x2a3fa2ee4c16153f7b2eb63b2dfad38ea264a92b,0
0x8c3330507b537db7353650a54be3f1ac72c4b17e,0
0xc05883d9977cd87169bc1ba82859c2b4e484abbf,0
0xdd99d5aee27d6e47a0b538f1e2f9104f7c60000a,8000000000000000000
0x0feb17d2deff12bb1ded6774e6dbf6b9da368e66,0
0x6099830071fc278be4e309d2b81c9a4495a57ed8,75143000000000
0x32e351b39d9dcc5e292385143530d7f3417da550,202448153436217000000000
0xac95e9dec056835d88817a8a59a06b1667c515d7,40443704071005000000000
0x0befd7ecaf8038737438832643f0e51df7abf1e4,5920000000000000000000
0x2e54e68f422563147fc9438064bb6ba41e42e356,3079000000000000000000
0xf350d955a0d4a4e0de39978a5a8b838466961e60,3098834860193000000000
0x3521835b43b1ad07364220aff4166386880230c7,22351738949018000000000
0x6508cf6ff0bdf6865f8760cfb007edc2ecfbe5bc,0
0x8a40da117a3f1f2d95cdfb1dcf3cf477a2b70ae5,7000000000
0xd44eaeb6d0921b00d090ffeb37e6eafb54d0a580,0
0xb70601144b469a495c7ee4dc49a859283d19868d,63684079505800000000000
0x524a88a05e02cfb61429e0b3c2ecb8c4e532ea61,25614218850953000000000
0xa47c0b73ec45a428ab6902c027481082d6db1132,7223729138438000000000
0xd93e82b9969cc9a016bc58f5d1d7f83918fd9c79,400000000000000000000
0x6c46489194bbc861723049b27ee563995b85bba1,0
0xa8ed90c4c6d9eec89ebc73024a8c263eeb41da60,214038000000000
0xda8d91cb6cb7f2ef66900987aba50ac54d80439c,91205358590000000000
0x08aa500c60b91ce4086044e3c402549ba62e3484,10798000000000000000000
0x5391d52546b4e8afeb09591605a386bd36219054,249373253023091000000000
0xa533b6772593ce2a4519beed6b7dff0c69f17374,1786184188761473000000000
0x0fe9d0d57d91da9329a0215eee231aab6911261e,0
0x6af2c466ad49ec17412c3b51a7cc759cfbddebb9,87647380041938000000000
0x579224938415d56f8616f7583765b7c73c7b0610,400742479818000000000
0xb7e88e1635ea56b6a404cb4e97cf4fa6c40dcbeb,5000000000000000000
0x9f33a4809aa708d7a399fedba514e0a0d15efa85,3000000000000000000000
0x497d6ca44d77e3808cce217bfbb1bce6e7ae2d71,5500000000000000000000
0xa26c2744757a7c7fad021073108d843ece8ba648,0
0x7136adc702e26c13158284c4b0fcff66fa52c99b,133891245022000000000
0x4d42d04cfde176ccadc86ebaed18dbf248526255,74722233372642000000000
0x484b2eb9c04e5dab1454b1500ce41585753abbbd,0
0x39cef71369db73e3df074dcb09cf8df0480eb645,0
0xbcd96fe2ea923edd3b6c9657a216c6d5574b3ae0,802601000000000
0x99934615148074b7d4202ae8c371bcaa23b0a843,500000000001000000000
0x5bd517603b41c872f15b6ae96da6095bcc94ccf1,0
0x0424e057c2d0bc7e58c75975aaf38bf1e598cd49,5889232409000000000
0xf0427162e6a4701be0a66e639d156b7eadacb4a6,1714915442231000000000
0x9ef442ec149dd3bb61b1324209c332a9f2b78e61,0
0x52105c8818daacccfea0fe295f92a7f3d525096a,0
0x53907b71ee7139d6b515573f870f091dd4fa247e,0
0x362eae279e50fb03b1c0a0a369c6da6b12a5b919,0
0x453297bf63d36c3678b6ca750793217138f20aa3,192120913619000000000
0x5b63cec873f98e50062541eb136567f0462bfc54,2583000000000000000000
0x5aed44c8064ae841f52483804463161bdff4a70a,7447048633158000000000
0x32c139e80dee4125f500b51a0365a8522cf352d0,4000000000000000000
0x586970b8fc75f519cfc9675314a11ca36d605a13,838802279388000000000
0x22b7daf3f356462c196bc99a471d11e1ea0b16b6,6629201247696000000000
0xa9260481fa35bb5e2e300763c469506600d7a980,1296992814000000000
0x0a1287977578f888bdc1c7627781af1cc000e6ab,1000000000000000000000
0xede9129da3340414d172b45cbef924a1b500f6e0,0
0xf895bc5d1ddacfe97ede02d76a364ff7d174c49a,133000000000000000000
0x53c5d255e5941c86f37dbab0c38c662fe86876ac,47083488617000000000000
0xa233a72ac8572bfe402de54a92bc20620992103c,53512819049852000000000
0xd35dd9cea5b361f7a027df5cb2954ca34814843b,0
0x33102b455040374610044b31ec477644ee454db8,0
0xd0bb920e3e90dbafa0b5f260d055de957f089c62,0
0x86f2fff8cf8515ede391062c3ab69cc31b77afc1,0
0x40bfc8f85b1cccda73e99371d9f7d6e8e99c7b0e,11005210943124000000000
0x0bc289463b21be0f610d0d6cb4b8a9e679b68c15,793286000000000
0xedb7014286f9711bec29fcb8e329d7f235e282fe,0
0xcfc49d2515ea12a059ab4b0f9f53bb2fc731a536,227262000000000000000000
0x2cd65e30c25f345f667d7a7cf341e643156fb129,3171406725464000000000
0x52a99cc5cb2925104648e9fcdf8625e341fb348c,0
0x7b156c51ab341b56ccc06a5c70bc55e225d8149f,1000000000000000000
0x1485430d8f87cb08d45e4e6fcfad8f1abc9165e9,100427595185000000000
0x93b5ae94126f437d401573822107e42675c96529,0
0x80b232d60d6b680a5aa9d09ad3af663f1604507e,40274599663613000000000
0x3f426e5b88bf470a05a76d6639c5829e999084a4,3604214779245000000000
